id,department_id,year_id,semester_id,course_code,course_name,regulation,is_active,created_at
,ADS,Second Year,Semester 3,MA2201,LINEAR ALGEBRA AND BOUNDARY VALUE PROBLEMS,KCET 2021,TRUE,
,ADS,Second Year,Semester 3,AI2201,ARTIFICIAL INTELLIGENCE,KCET 2021,TRUE,
,ADS,Second Year,Semester 3,AI2202,DATA STRUCTURES AND ALGORITHMS,KCET 2021,TRUE,
,ADS,Second Year,Semester 3,CS2202,OBJECT ORIENTED PROGRAMMING USING JAVA,KCET 2021,TRUE,
,ADS,Second Year,Semester 3,CS2203,SYSTEM SOFTWARE AND OPERATING SYSTEMS,KCET 2021,TRUE,
,ADS,Second Year,Semester 3,EC2201,DIGITAL SYSTEM DESIGN AND MICROPROCESSORS,KCET 2021,TRUE,
,ADS,Second Year,Semester 3,AUD105,AUDIT COURSE,KCET 2021,TRUE,
,ADS,Third Year,Semester 5,AI2301,BIG DATA TOOLS AND TECHNIQUES,KCET 2021,TRUE,
,ADS,Third Year,Semester 5,AI2302,COMPUTER NETWORKS AND SECURITY,KCET 2021,TRUE,
,ADS,Third Year,Semester 5,AI2303,FUNDAMENTALS OF DEEP LEARNING,KCET 2021,TRUE,
,ADS,Third Year,Semester 5,CS2301,INTERNET PROGRAMMING,KCET 2021,TRUE,
,ADS,Third Year,Semester 5,VSC347,DIGITAL MARKETING ESSENTIALS (PE1),KCET 2021,TRUE,
,ADS,Third Year,Semester 5,VAI311,BUSINESS INTELLIGENCE (PE2),KCET 2021,TRUE,
,ADS,Third Year,Semester 5,VAI312,HUMAN COMPUTER INTERACTION (PE2),KCET 2021,TRUE,
,ADS,Third Year,Semester 5,EM2202,INTERPERSONAL SKILLS - LISTENING AND SPEAKING,KCET 2021,TRUE,
,ADS,Third Year,Semester 5,VCS316,INFORMATION RETRIEVAL TECHNIQUES (Honors),KCET 2021,TRUE,
,ADS,Third Year,Semester 5,VCS325,APPLICATION DEVELOPMENT USING FLUTTER (Honors),KCET 2021,TRUE,
,ADS,Third Year,Semester 5,MMT101,EMBEDDED SYSTEM DESIGN FOR ROBOTICS (Minor),KCET 2021,TRUE,
,ADS,Third Year,Semester 5,MMT102,ARDUINO AND RASPBERRYPI PROGRAMMING (Minor),KCET 2021,TRUE,
,ADS,Third Year,Semester 5,MBD001,MANAGEMENT INFORMATION SYSTEM (Minor),KCET 2021,TRUE,
,ADS,Third Year,Semester 5,MBD002,INTRODUCTION TO BUSINESS ANALYTICS (Minor),KCET 2021,TRUE,
,ADS,Fourth Year,Semester 7,AI2401,DATA EXPLORATION AND VISUALIZATION,KCET 2021,TRUE,
,ADS,Fourth Year,Semester 7,GE2401,UNIVERSAL HUMAN VALUES AND ETHICS,KCET 2021,TRUE,
,ADS,Fourth Year,Semester 7,GE2491,PRINCIPLES OF MANAGEMENT (ME1),KCET 2021,TRUE,
,ADS,Fourth Year,Semester 7,OEE701,DISASTER MANAGEMENT (OE II),KCET 2021,TRUE,
,ADS,Fourth Year,Semester 7,OME704,ELECTRIC AND HYBRID VEHICLES (OE III),KCET 2021,TRUE,
,ADS,Fourth Year,Semester 7,OEC705,MEDICAL ELECTRONICS (OE IV),KCET 2021,TRUE,
,ADS,Fourth Year,Semester 7,VAI313,APPLICATIONS OF ROBOTICS (Honors),KCET 2021,TRUE,
,ADS,Fourth Year,Semester 7,VCS321,AGILE PROJECT DEVELOPMENT WITH SCRUM,KCET 2021,TRUE,
,ADS,Fourth Year,Semester 7,MEN005,PRINCIPLES OF MARKETING MANAGEMENT FOR BUSINESS,KCET 2021,TRUE,
,ADS,Fourth Year,Semester 7,MEN006,FINANCIAL MARKETS AND SERVICES,KCET 2021,TRUE,
